# audit_summary.txt
# One line per terminal log in logs/run_logs/. Future checkpoint runs can read this
# file instead of parsing every full log. Append a new line per run.
# Format: <filename> | app=<id> | <company> | audit=<N ok, M fail> | warns=<count> | demographics=<filled|absent|partial>
audit_20.txt           | app=20 | DoubleVerify              | audit=11 ok, 1 fail | warns=2 | demographics=absent  | note: pre-fix run — Hispanic/race/etc skipped because id-based handler missed DV's id suffix; sponsorship text-input also failed (AUDIT-FAIL)
audit_20_v2.txt        | app=20 | DoubleVerify              | audit=12 ok, 0 fail | warns=2 | demographics=partial | note: mid-fix run — label-based scanner caught veteran/disability + race but missed gender/hispanic due to timing race
audit_20_fixed.txt     | app=20 | DoubleVerify              | audit=12 ok, 0 fail | warns=2 | demographics=filled  | note: final fix — per-category scan with scroll-prime + retry now hits all 5 demographic dropdowns
smoke_6.txt            | app=6  | Cloudflare                | audit=14 ok, 0 fail | warns=0 | demographics=filled  | note: stale_job_removed — app=6 retired as sanity baseline; permanent sanity checks are now app=28 (Constant Contact) + app=34 (Cerebras)
smoke_9.txt            | app=9  | Dorsia                    | audit=14 ok, 0 fail | warns=1 | demographics=absent  | note: form has no demographic section; remaining warn is a benign React-Select-not-found for #start-month--0
checkpoint_19.txt      | app=19 | Aquatic Capital Management| audit=21 ok, 0 fail | warns=2 | demographics=absent  | note: form has no demographic section; warns are React-Select-not-found for month fields
app_26 | company: Verkada | problem_types: country_react_select_missed | fixes: added_explicit_country_react_select_fill + added_country_to_HANDLED_IDS | status: clean
app_27 | company: Axiomatic AI | problem_types: multi_select_audit_blind, false_skipped_warn_for_checkbox_group, academic_status_classifier_misfire | fixes: audit detects multi-value pills, validator skips already-satisfied checkbox group siblings, academic-status classifier covers undergrad + falls back to Other | status: clean
app_28 | company: Constant Contact | problem_types: none | fixes: none | status: clean
app_29 | company: Bandwidth | problem_types: non_us_role_sponsorship_answered_wrong | fixes: detect non-US role from scraped job location and flip sponsorship/work-auth classifier answers accordingly | status: clean (Romania role; needs_review on jobs.csv)
app_30 | company: StackAdapt | problem_types: none (benefits from app_29 non-US detection fix) | fixes: none new | status: clean (Canada role; needs_review on jobs.csv)
app_31 | company: Avride | problem_types: graduation_date_field_skipped_by_overbroad_date_filter, country_react_select_on_text_input_disturbed_basic_fields | fixes: narrow date filter to birth/dob/ssn only, guard fillReactSelect(country) to only fire when #country is actually inside a select__control | status: clean
app_32 | company: Allen Institute | problem_types: none | fixes: none | status: clean
app_33 | company: Arine | problem_types: salary_handler_misfired_on_acknowledgement_dropdown | fixes: require_asking_cue_in_salary_regex_and_skip_informational_rate_statements | status: clean
app_34 | company: Cerebras | problem_types: none | fixes: none | status: clean
app_35 | company: Sertis | problem_types: non_us_role_detection_missed_thailand | fixes: expand_NON_US_COUNTRIES_regex_with_thailand_and_other_common_countries | status: clean (Thailand role; needs_review)
app_36 | company: Businessolver | problem_types: none | fixes: none | status: clean
app_37 | company: Celonis | problem_types: none | fixes: none | status: clean
